,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1953,0,-0.014778325,0.004926108,0.044334975,0.068965517,0.083743842,0.098522167,0.157635468,0.270935961,0.349753695,0.45320197,0.586206897,0.729064039,0.832512315,0.926108374,1.064039409,1.192118227,1.315270936,1.507389163,2.177339901,3.440421387,4.250735572,4.494080699,5.092157794,5.56329403,6.309385171,8.410682885,10.99365343,11.55058764,11.78690837,12.91382209,14.69500807,16.55948331,17.85347729,20.62209257,22.84832417,30.48735419,30.51495003,27.84968722,26.60116458,25.51257701,26.14636162,26.01802275,26.1676732,28.51754709,32.26898879,34.68844575,40.09380124,43.41450664,49.43317004,62.43441505,73.16394953,79.80974933,83.79163632,91.84939724,93.86397453,78.18019052,85.14985036,84.88112726,85.06255136,85.23909935,93.209,98.73109673
1954,0,0,0.02,0.06,0.085,0.1,0.115,0.175,0.29,0.37,0.475,0.61,0.755,0.86,0.955,1.095,1.225,1.35,1.545,2.225,3.507027708,4.329496606,4.57649191,5.183540161,5.66174344,6.419025949,8.551843129,11.17355823,11.73884645,11.97871199,13.12252942,14.93043319,16.82287556,18.13627945,20.94642396,23.20604904,30.9596645,30.98767428,28.28243253,27.01518205,25.91026566,26.55355704,26.42329309,26.5751883,28.96031029,32.76802362,35.22377244,40.71020826,44.08072424,50.18966759,63.38593128,74.27640877,81.02189557,85.06351087,93.24213819,95.28693414,79.36789337,86.44209812,86.16934417,86.35348963,86.53268584,94.622135,100.2270632
1955,0,0,0,0.039215686,0.06372549,0.078431373,0.093137255,0.151960784,0.264705882,0.343137255,0.446078431,0.578431373,0.720588235,0.823529412,0.916666667,1.053921569,1.181372549,1.303921569,1.495098039,2.161764706,3.418654615,4.224996672,4.467148931,5.062294276,5.53112102,6.273554852,8.364552087,10.93486101,11.48906515,11.72422744,12.84561708,14.61807175,16.47340741,17.76105829,20.51610192,22.73142062,30.33300441,30.36046498,27.70826719,26.46586475,25.38261339,26.01329122,25.88558146,26.03449833,28.37285323,32.10590551,34.51350239,39.89236104,43.19678847,49.18594862,62.12346204,72.80040076,79.41362311,83.37599105,91.39425313,93.39895504,77.79205233,84.72754717,84.46014135,84.6406761,84.81635867,92.74719118,98.24221881
1956,0,0,0,0,0.023584906,0.037735849,0.051886792,0.108490566,0.216981132,0.29245283,0.391509434,0.518867925,0.655660377,0.754716981,0.844339623,0.976415094,1.099056604,1.216981132,1.400943396,2.04245283,3.251912932,4.027826987,4.260841424,4.833528454,5.284663623,5.999081084,8.011172763,10.4844889,11.01777967,11.24406792,12.32314096,14.02871056,15.81403355,17.05309382,19.70417355,21.83589532,29.15062689,29.17705121,26.62493635,25.42941703,24.38704308,24.99392174,24.87103122,25.01432858,27.26444367,30.85662606,33.17337023,38.34925307,41.52898513,47.29213924,59.7414446,70.01547997,76.37914677,80.19199139,87.90767754,89.83673032,74.81876733,81.49254539,81.23523035,81.40895248,81.57800551,89.20956132,94.49722942
1957,0,0,0,0,0,0.013824885,0.02764977,0.082949309,0.188940092,0.262672811,0.359447005,0.483870968,0.617511521,0.714285714,0.801843318,0.930875576,1.050691244,1.165898618,1.34562212,1.97235023,3.153942588,3.911978439,4.13962388,4.699115356,5.139855705,5.837811934,7.803542054,10.21986934,10.7408723,10.96194654,12.01615615,13.6824269,15.42661342,16.63712392,19.22711886,21.30972261,28.45591198,28.48172744,25.98841708,24.82044428,23.80208817,24.39498345,24.27492451,24.41492009,26.61318921,30.12260242,32.38596538,37.44258826,40.5490546,46.17941714,58.34187215,68.37917859,74.59621712,78.32120817,85.85911354,87.7437181,73.07179113,79.5917955,79.34040938,79.51012869,79.67528649,87.131,92.29683243
1958,0,0,0,0,0,0,0.013636364,0.068181818,0.172727273,0.245454545,0.340909091,0.463636364,0.595454545,0.690909091,0.777272727,0.904545455,1.022727273,1.136363636,1.313636364,1.931818182,3.097297916,3.844996914,4.0695381,4.621400147,5.0561304,5.744569044,7.683493753,10.06687112,10.5807695,10.79882908,11.83866311,13.48221199,15.20261414,16.39661768,18.95129451,21.00549912,28.05424046,28.07970389,25.62039321,24.46834732,23.46387787,24.04868822,23.93026645,24.068353,26.23664572,29.69820329,31.93070222,36.91837114,39.98247658,45.53606145,57.5326648,67.43309888,73.56535961,77.23955534,84.67467109,86.53357649,72.06172125,78.49281647,78.24485834,78.4122633,78.57516895,85.92921364,91.0246029
1959,0,0,0,0,0,0,0,0.053811659,0.156950673,0.228699552,0.322869955,0.443946188,0.573991031,0.668161435,0.753363229,0.878923767,0.995515695,1.107623318,1.282511211,1.892376682,3.042177316,3.779817584,4.001338036,4.545775929,4.974657794,5.653834932,7.566675452,9.917989443,10.42497439,10.64010044,11.66594567,13.28738403,14.98464176,16.16258247,18.68289144,20.70946102,27.66337623,27.68849711,25.26227133,24.12572381,23.13476741,23.71171035,23.5948817,23.73111058,25.87023345,29.28522298,31.48768829,36.40825853,39.43114281,44.91001578,56.74522985,66.51247423,72.56223818,76.18700526,83.52209704,85.35599475,71.07882814,77.42340638,77.17878401,77.34393688,77.50465098,84.75976233,89.78660375
1960,0,0,0,0,0,0,0,0,0.09787234,0.165957447,0.255319149,0.370212766,0.493617021,0.582978723,0.663829787,0.782978723,0.893617021,1,1.165957447,1.744680851,2.835768262,3.535741792,3.745950561,4.262587371,4.669568885,5.314064637,7.129228195,9.360475089,9.841571447,10.04571233,11.01917397,12.55781548,14.16840473,15.28619528,17.67780762,19.6008928,26.19971447,26.22355258,23.92121918,22.84270813,21.90235375,22.44983578,22.33897285,22.46824536,24.49813642,27.73874351,29.8287425,34.49804958,37.36657382,42.56567455,53.79653726,63.06502874,68.80586857,72.24554117,79.20607506,80.94632693,67.39820713,73.41880691,73.18667589,73.34339543,73.49590285,80.38054043,85.15069207
1961,0,0,0,0,0,0,0,0,0,0.062015504,0.143410853,0.248062016,0.360465116,0.441860465,0.515503876,0.624031008,0.724806202,0.821705426,0.972868217,1.5,2.493819929,3.131392718,3.322861945,3.793441986,4.164142202,4.751182906,6.404529557,8.436866844,8.875074767,9.061017048,9.947697225,11.34917302,12.8161826,13.83432516,16.01273175,17.7643791,23.77493372,23.79664673,21.6995601,20.71719539,19.86067106,20.35934654,20.25836674,20.37611496,22.22504674,25.1767625,27.08044375,31.33349477,33.94629786,38.68191286,48.91157464,57.35380525,62.58286479,65.7158999,72.05592108,73.64103422,61.30069254,66.78457218,66.57313502,66.71588343,66.85479523,73.12568605,77.47059162
1962,0,0,0,0,0,0,0,0,0,0,0.076642336,0.175182482,0.281021898,0.357664234,0.427007299,0.52919708,0.624087591,0.715328467,0.857664234,1.354014599,2.289801247,2.890143508,3.070432051,3.513532965,3.862586453,4.415347408,5.972148269,7.885808926,8.298428066,8.473512403,9.308415635,10.62805342,12.00939822,12.96808719,15.01928756,16.66864893,22.32822226,22.34866736,20.37403834,19.44903799,18.64252968,19.11208543,19.01700226,19.12787467,20.86883963,23.64819243,25.44070981,29.44540749,31.90563813,36.36472087,45.99703013,53.94628377,58.86999677,61.82008093,67.78988189,69.28243368,57.66269589,62.82634899,62.62725852,62.76167126,62.89247142,68.79717883,72.88836729
